name,image,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Ancient Short Sword,BotW_Ancient_Short_Sword_Icon.png?version=486c93e286f8dc379cec15fcc5cb2610 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/ri4i_HuAlSh19KwI5hkyKg/SK6E2raQpJca72iIpJzzlkwf9WMZdSGpA5dLyjOqXwVUSNaMAEUxTkaHEqTDMn_65TDbyTjeqZHCz23k-OD5Muaj53-TmSLz-1tH5JWHO_FhPWd1Y4fpBLTSZOvcXpqE/jQjlgsz1EKp4CzQPNAglXrqlVQhzApCb0iCZGHfaBEo),Weapon,Light,,54,40,,,,,,,,,"The blade of this sword was made using an ancient power lost to this modern age. Its blade appears only when drawn, and its cutting power surpasses metal swords.",,,,,,,,,
Blizzard Rod,BotW_Blizzard_Rod_Icon.png?version=f9bd2bfd01056fb6390ae4e60d28e7a5 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/hLSt80ualBRA0LRe8rNzFA/GkNmKahD9bpZ9kh3O-aFTVqt1pRRjxczFGFqQkhD96s7-bTgGbl8z3hr92gj7CzpwYoLOPODWiK9zVu5DLdOcwkbEi5zooAJ3EEqPG0XRjVQhp-6WHqlXddOvTjd8e3T/f79qD3SmbMr9kEhizP8k0oZZD0CbYZbWW-SsHXBw6Ac),Weapon,Light,,32,10,,,,,,,,,A magical rod that can cast extreme cold in a wide range. These are crafted from refined ice found at the summit of Hebra Peak. It will break when depleted.,,,,,,,,,
Boko Club,BotW_Boko_Club_Icon.png?version=e018fd887fdac13d06b446fb28fac5da (https://v5.airtableusercontent.com/v1/18/18/1686708000000/5JQuoNsDRCHtai_H8wLIAg/zVdruZjFEQ9RjeRW7Z6aqdzwR_9UU7NHngvi76BO8N9gjDY8cpSSErFSHjcICI7DlcMD03BCREE14LcuDDyfnSMTPeWjvmuV17evknvCTgEVeYynbEDmE-ecgBetMoN7/j4CCtIE8jEGIoPoH7hMD3YZIwrNtBtHst4Mxy_d5KjU),Weapon,Light,,8,4,,,,,,,,,"A crude Bokoblin club made to clobber small prey. It's essentially a stick, so its durability is low.",,,,,,,,,
Bokoblin Arm,BotW_Bokoblin_Arm_Icon.png?version=be25984d7c028c958c461bf44673fb07 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/XO9rpymsONn-i6L7RHiFwg/mp38TnwNi4xjY1urZezxNUEQYZMPGsgX6laCwcIrmGS_uPFbfVRovf9wP7EEVU5IgnXEQwgqLcCz3v00t4_qrsPoSmAoJsvZBLW1aRX9nfiHmVuQ-KiTStL261sGxwTq/NV-4XOo-UnhxCPbVh0UIvseIAps_o6zhOSTSugHvZF8),Weapon,Light,,5,5,,,,,,,,,"A skeletal arm that keeps moving even after it's severed from its body. It's kind of gross to strap it to your back, but it'll do in a pinch. It's old and fragile, so it's quick to break.",,,,,,,,,
Boomerang,BotW_Boomerang_Icon.png?version=96318352d5aae4edd4a364e5fad0f1c4 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/I3mrdsfUsfuO0W7SHV569g/Ly_sXpQ0LNgbM7ZlGsZI9ofwBn6J8INbkvLxqVa54ZLyzy24z_OqNHTLEadTrenCpxWbnFQ6Z6_IHKcRqU6OsvdrEw7wgkK5GdG160uYOOnrouVapVMhTgLVEAor3SIj/ypaK_AOf_Tis-TYGQNCpOCAv4ExF1s1T6Oh5gW8bpr8),Weapon,Light,,18,8,,,,,,,,,This throwing weapon was originally used by the forest-dwelling Koroks. Its unique shape allows it to return after being thrown.,,,,,,,,,
Demon Carver,BotW_Demon_Carver_Icon.png?version=db18075e98d136f94140977003a9cf88 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/bN8yBLSz2woHrjeCucsByw/lgcSuetiqA35LgtNooaCy6e20P-Mq6CM-HGY71OofNK8fhCxsnhXBAZDF_Okzd-IamIFr2oyxRZf7dTa8XD7hZOG3HvmksTaH8al_4YX5p14UiwCB6by1lYgHqMc1AGP/QFEjcqFpL5EWB3N2_NiDsvAtQSXJxrqUjnT_Wrgoev8),Weapon,Light,,25,40,,,,,,,,,This lethal weapon is forged by the Yiga. Its unique shape facilitates the sound dispatching of any target and strikes fear into the hearts of all who see it.,,,,,,,,,
Dragonbone Boko Club,BotW_Dragonbone_Boko_Club_Icon.png?version=d285ae0ccf505956cb073e30cbb282de (https://v5.airtableusercontent.com/v1/18/18/1686708000000/-lF2jffnCp4m3uY7T6M4sw/Kmmd2gSyCmOq1ETLDW-Xw3vEJO18UcQZeCTlEdn6mPhO4JYWz8CdsQYOGE1flw21CAHCJMlmeNH5-odjlimoza6u9kM6eNa1Ka1xi2qUo7s6hvPoNclhJe-N2Qa7Mewcq6EZ4wqHsTqZzLb-j8MdoQ/-J8LfVegop2Iugc4NmluA8HpKd-T4ettPBaXNsCePNE),Weapon,Light,,18,24,,,,,,,,,This Bokoblin club has been reinforced with fossilized bones to maximize clobbering potential. Only the brawniest of Bokoblins can manage its immense weight.,,,,,,,,,
Eightfold Blade,BotW_Eightfold_Blade_Icon.png?version=953b1fac46cd8f46756a527d95fd2bb6 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/I_i4j35ojdza5ZeHHw7TTw/5OzEWIiBGtz6TM55dr2HClfZUbgxLvu_nTm9puXlWg9RI_9LJv9Y0gKv_n0AouP6T_oFNDQl6Q5QZlLiW3z-UV8xCW1T5TR9gXvomJoSvimjEIqDQHILUc8XaBEHqjYg/wPnCQ7pO7bwkMotRlK39OG7qcuFkT1p2DyQ48WgbNwo),Weapon,Light,,26,15,,,,,,,,,A single-edged sword traditional to the Sheikah tribe. Forged using ancient technology it just may be among the sharpest conventional weapons ever made.,,,,,,,,,
Fire Rod,BotW_Fire_Rod_Icon.png?version=9c9230bc9f584ec7caea7fc9250e3902 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/tRJlY5cX-pj6bp55ErLfxg/zfPB-PPOR3gA7WXrEIXR8vWnQiLd9VHMr9xEuiCvEvJtu4cjb0_ybqvKWhNn_IN1FLBc7PJEwHwyH2beXz2zWWayhn_r7g0nwrhzMiuljg8hNf-CEguZMJd3zdyu1e54/fdMNoMvEJfi8gpSPUd74OPSJsX3hM39yMzY5pRNG3_Q),Weapon,Light,,14,5,,,,,,,,,"A magical rod that can cast fireballs. The rod will break if it strikes something directly, so use it wisely.",,,,,,,,,
Fishing Harpoon,BotW_Fishing_Harpoon_Icon.png?version=36b5a7a906a4e39ca6c44babe60eb725 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/kf_sZXoX-hcPEQ_4n7SHJg/r7biPVSMpog4F5HF6wQ1GIkvTXFbEhe2jToVPi_Py3CMrrMW4tBM_eEg6rdJXRq_kx7v56m3aewBAJGU29Ujdv0_L1FXsSZLk2E05RMcK2c-7SePs76UIkNaOSQF3lcZ/L2VFT8oZ420skBQYWb3wcwV0pmCkmNZ2omXYhKqdyuk),Weapon,Light,,12,8,,,,,,,,,A fisherman's tool that excels at catching large fish. Its particularly sharp spearhead makes it valuable as a weapon as well.,,,,,,,,,
